"year","avg","min","max","median"
1980,-0.418041927671662,-2.76,4.13,-0.644722222222222
1981,0.438547057917436,-2.95,4.79,0.197222222222223
1982,-0.799121632607655,-2.92,2.73,-1.01486111111111
1983,0.519564078866295,-3.39,5.64,0.290416666666667
1984,0.35291433473677,-2.84,4.72,0.243055555555556
1985,2.86101100927637,-1.04,9.14,2.83597222222222
1986,1.77908346597522,-1.96,5.75,1.90166666666667
1987,3.54635003765318,0.93,8,3.4325
1988,1.55334606267543,-2,5.05,1.62638888888889
1989,-1.35744931796399,-3.23,2.72,-1.43722222222222
1990,-1.00356224755254,-3.39,3.33,-1.16194444444444
1991,0.652600978982678,-2.47,5.5,0.410972222222223
1992,4.59044171886767,1.13,9.8,4.53972222222222
1993,1.50608432600808,-2.31,8.6,1.33166666666667
1994,-0.803384528821799,-3.32,3.21,-0.818888888888889
1995,-0.792443220716094,-3.03,4.49,-0.950277777777778
1996,-1.95135476569453,-3.85,3.77,-2.09416666666667
1997,1.22156320599712,-1.93,4.82,1.20277777777778
1998,0.337712098651337,-3.27,5.59,0.281666666666667
1999,0.474926918600671,-3.3,5.53,0.1875
2000,-1.54121059252413,-3.58,3.09,-1.71736111111111
2001,0.604837278359691,-3.78,4.87,0.671666666666667
2002,-2.13682699219552,-4.35,1.59,-2.21833333333333
2003,-1.7232053125214,-4.53,2.3,-1.81013888888889
2004,0.975562209043609,-3.55,4.76,1.43027777777778
2005,2.74245006674882,-2.65,8.83,2.46486111111111
2006,-1.56508570377217,-4.8,5.72,-1.65277777777778
2007,2.41265621790922,-1.73,7.3,2.52375
2008,-0.933869848360374,-3.45,4.58,-0.976388888888889
2009,-1.29686584343123,-3.88,4.71,-1.50875
2010,0.630469873177244,-4.47,7.99,0.829166666666667
2011,-3.49172530721572,-6.6,4.19,-3.48291666666667
2012,-2.72204903898816,-5.24,4.16,-2.77166666666667
2013,-3.24380521753269,-5.6,3.47,-3.25805555555556
2014,-1.89663284298624,-3.97,2.79,-1.96305555555556
2015,2.124446391285,-2.59,8.12,2.15625
2016,0.252459030772918,-2.62,6.21,0.298194444444445
2017,0.632046878209078,-2.67,6.68,0.783194444444445
2018,-1.74641436896693,-5.31,5.23,-1.82055555555556
2019,-0.050745447388239,-3.76,5.02,-0.185555555555555
2020,0.120228764462244,-4.53,7.14,-0.136666666666666
2021,-1.37773668018758,-5.34,7.78,-1.33444444444444
2022,-2.40988947935921,-5.41,4.32,-2.529
