"year","month","day","date","pdsi_mean","pdsi_min","pdsi_max"
1980,1,5,1980-01-05,-0.0117012814847545,-0.0700000000000003,0.0500000000000007
1980,1,10,1980-01-10,-0.0101281484754748,-0.0600000000000005,0.0400000000000009
1980,1,15,1980-01-15,-0.0273177198409187,-0.0899999999999999,0.0700000000000003
1980,1,20,1980-01-20,-0.0252054794520543,-0.0800000000000001,0.0700000000000003
1980,1,25,1980-01-25,0.00115775519222311,-0.0499999999999989,0.0899999999999999
1980,1,30,1980-01-30,0.00720724701723408,-0.0399999999999991,0.0800000000000001
1980,2,4,1980-02-04,0.0160362350861691,-0.0399999999999991,0.0700000000000003
1980,2,9,1980-02-09,0.047609368095449,-0.00999999999999979,0.109999999999999
1980,2,14,1980-02-14,0.105121520106054,-0.0199999999999996,0.18
1980,2,19,1980-02-19,0.160406539991162,0.0300000000000011,0.640000000000001
1980,2,24,1980-02-24,0.166341140079541,-0.0299999999999994,0.720000000000001
1980,2,29,1980-02-29,0.307330976579762,-0.0199999999999996,0.81
1980,3,5,1980-03-05,0.387971718957137,-0.00999999999999979,0.960000000000001
1980,3,10,1980-03-10,0.436893504197968,-0.0299999999999994,1.11
1980,3,15,1980-03-15,0.388541758727353,-0.0499999999999989,1.14
1980,3,20,1980-03-20,0.327640300486081,-0.0700000000000003,1.16
1980,3,25,1980-03-25,0.288029164825453,-0.0700000000000003,1.11
1980,3,30,1980-03-30,0.271020768890853,-0.0600000000000005,1.1
1980,4,4,1980-04-04,0.247918692001768,-0.0600000000000005,1.07
1980,4,9,1980-04-09,0.173336279275299,-0.0600000000000005,1.02
1980,4,14,1980-04-14,0.186844896155546,-0.0399999999999991,0.970000000000001
1980,4,19,1980-04-19,0.169063190455148,-0.0499999999999989,0.92
1980,4,24,1980-04-24,0.166243923994698,-0.0399999999999991,0.880000000000001
1980,4,29,1980-04-29,0.148214759169245,-0.0399999999999991,0.85
1980,5,4,1980-05-04,0.248113124171454,0.00999999999999979,1.03
1980,5,9,1980-05-09,0.288740609809987,0.00999999999999979,1.2
1980,5,14,1980-05-14,0.280437472381795,-0.00999999999999979,1.23
1980,5,19,1980-05-19,0.307631462660186,-0.00999999999999979,1.26
1980,5,24,1980-05-24,0.303592576226249,-0.0499999999999989,1.27
1980,5,29,1980-05-29,0.31377817057004,-0.0600000000000005,1.3
1980,6,3,1980-06-03,0.19311091471498,-0.119999999999999,1.19
1980,6,8,1980-06-08,0.155930181175431,-0.119999999999999,1.09
1980,6,13,1980-06-13,0.131953159522758,-0.52,1
1980,6,18,1980-06-18,0.0777640300486082,-0.57,0.9
1980,6,23,1980-06-23,0.0167344233318605,-0.619999999999999,0.800000000000001
1980,6,28,1980-06-28,-0.110565620857269,-0.699999999999999,0.710000000000001
1980,7,3,1980-07-03,-0.338356164383561,-0.789999999999999,0.6
1980,7,8,1980-07-08,-0.538696420680512,-0.879999999999999,-0.0499999999999989
1980,7,13,1980-07-13,-0.689836500220945,-1,-0.0199999999999996
1980,7,18,1980-07-18,-0.827927529827662,-1.15,-0.0499999999999989
1980,7,23,1980-07-23,-0.978904109589041,-1.33,-0.0899999999999999
1980,7,28,1980-07-28,-1.14030490499337,-1.5,-0.539999999999999
1980,8,2,1980-08-02,-1.32057003977022,-1.67,-0.719999999999999
1980,8,7,1980-08-07,-1.51001767565179,-1.84,-0.9
1980,8,12,1980-08-12,-1.63140521431728,-1.97,-1.08
1980,8,17,1980-08-17,-1.70708351745471,-2.07,-1.16
1980,8,22,1980-08-22,-1.75484312859037,-2.14,-1.23
1980,8,27,1980-08-27,-1.73496685815289,-2.2,-1.14
1980,9,1,1980-09-01,-1.68633672116659,-2.24,-0.959999999999999
1980,9,6,1980-09-06,-1.61263809102961,-2.22,-0.82
1980,9,11,1980-09-11,-1.52460008837826,-2.23,1.03
1980,9,16,1980-09-16,-1.44062306672559,-2.26,1.46
1980,9,21,1980-09-21,-1.38298718515245,-2.32,1.81
1980,9,26,1980-09-26,-1.22404772425983,-2.36,2.09
1980,10,1,1980-10-01,-0.95974370304905,-2.37,2.36
1980,10,6,1980-10-06,-0.748541758727353,-2.41,2.65
1980,10,11,1980-10-11,-0.689063190455148,-2.46,2.44
1980,10,16,1980-10-16,-0.674074237737516,-2.5,2.27
1980,10,21,1980-10-21,-0.623574900574458,-2.5,2.27
1980,10,26,1980-10-26,-0.721984091913389,-2.56,2.27
1980,10,31,1980-10-31,-0.803402562969509,-2.59,2.32
1980,11,5,1980-11-05,-0.893954927087936,-2.62,2.39
1980,11,10,1980-11-10,-0.97273530711445,-2.66,2.43
1980,11,15,1980-11-15,-1.0137649138312,-2.69,2.44
1980,11,20,1980-11-20,-1.03011931064958,-2.73,2.48
1980,11,25,1980-11-25,-1.01959787892178,-2.76,2.52
1980,11,30,1980-11-30,-1.04449403446752,-2.8,2.52
1980,12,5,1980-12-05,-1.07600088378259,-2.84,2.54
1980,12,10,1980-12-10,-1.09737958462218,-2.87,2.55
1980,12,15,1980-12-15,-1.10947414935926,-2.89,2.53
1980,12,20,1980-12-20,-1.16620415377817,-2.94,2.49
1980,12,25,1980-12-25,-1.24129032258064,-2.99,2.4
1980,12,30,1980-12-30,-1.31222271321255,-3.04,2.32
1981,1,5,1981-01-05,-1.37717189571365,-3.08,2.24
1981,1,10,1981-01-10,-1.41852408307556,-3.11,2.16
1981,1,15,1981-01-15,-1.41825894829872,-3.12,2.15
1981,1,20,1981-01-20,-1.35132567388422,-3.07,2.17
1981,1,25,1981-01-25,-1.26680512593902,-3.02,2.2
1981,1,30,1981-01-30,-1.1834202386213,-2.97,2.21
1981,2,4,1981-02-04,-1.11074237737517,-2.91,2.22
1981,2,9,1981-02-09,-1.05155987627044,-2.87,2.24
1981,2,14,1981-02-14,-1.0488820150243,-2.86,2.21
1981,2,19,1981-02-19,-1.10526734423332,-2.9,2.14
1981,2,24,1981-02-24,-1.16302695536898,-2.96,2.07
1981,3,1,1981-03-01,-1.18018559434379,-2.96,2.03
1981,3,6,1981-03-06,-1.12063632346443,-2.88,2.07
1981,3,11,1981-03-11,-1.05567830313743,-2.78,2.1
1981,3,16,1981-03-16,-0.971321254971277,-2.66,2.13
1981,3,21,1981-03-21,-0.860879363676535,-2.52,2.16
1981,3,26,1981-03-26,-0.730344675209898,-2.38,2.21
1981,3,31,1981-03-31,-0.648453380468405,-2.27,2.22
1981,4,5,1981-04-05,-0.67673442333186,-2.24,2.15
1981,4,10,1981-04-10,-0.719677419354838,-2.26,2.07
1981,4,15,1981-04-15,-0.737353071144498,-2.26,2.02
1981,4,20,1981-04-20,-0.754639858594785,-2.25,1.98
1981,4,25,1981-04-25,-0.747445868316394,-2.24,1.95
1981,4,30,1981-04-30,-0.698603623508617,-2.21,1.96
1981,5,5,1981-05-05,-0.521886875828546,-2.09,2.06
1981,5,10,1981-05-10,-0.350574458683164,-1.97,2.16
1981,5,15,1981-05-15,-0.205819708351745,-1.86,2.22
1981,5,20,1981-05-20,-0.0660671674768004,-1.75,2.27
1981,5,25,1981-05-25,0.0635262925320374,-1.7,2.3
1981,5,30,1981-05-30,0.17365885992046,-1.68,2.28
1981,6,4,1981-06-04,0.114834290764472,-1.7,2.22
1981,6,9,1981-06-09,0.0652187361908973,-1.72,2.17
1981,6,14,1981-06-14,0.013959346000884,-1.74,2.1
1981,6,19,1981-06-19,-0.0439726027397258,-1.76,2.07
1981,6,24,1981-06-24,-0.0866858152894386,-1.79,2.07
1981,6,29,1981-06-29,-0.067074679628811,-1.74,2.03
1981,7,4,1981-07-04,-0.00129474149359223,-1.58,1.99
1981,7,9,1981-07-09,0.0661555457357493,-1.42,2.05
1981,7,14,1981-07-14,0.153937251436147,-1.18,2.09
1981,7,19,1981-07-19,0.286332302253646,-1.17,2.17
1981,7,24,1981-07-24,0.384560318161733,-1.2,2.24
1981,7,29,1981-07-29,0.457821475916925,-1.29,2.31
1981,8,3,1981-08-03,0.469306230667256,-1.36,2.4
1981,8,8,1981-08-08,0.525665046398586,-1.45,2.38
1981,8,13,1981-08-13,0.598214759169245,-1.5,2.5
1981,8,18,1981-08-18,0.674927087936368,-1.55,2.66
1981,8,23,1981-08-23,0.76208572691118,-1.59,2.85
1981,8,28,1981-08-28,0.790742377375166,-1.53,3.01
1981,9,2,1981-09-02,0.762125497127707,-1.49,3.04
1981,9,7,1981-09-07,0.804365885992046,-1.46,3.2
1981,9,12,1981-09-12,0.780574458683164,-1.47,3.25
1981,9,17,1981-09-17,0.716208572691118,-1.48,3.21
1981,9,22,1981-09-22,0.664343791427309,-1.47,3.16
1981,9,27,1981-09-27,0.612098983650022,-1.5,3.15
1981,10,2,1981-10-02,0.644259832081308,-1.41,3.16
1981,10,7,1981-10-07,0.57053026955369,-1.48,3.09
1981,10,12,1981-10-12,0.514882898806894,-1.53,3
1981,10,17,1981-10-17,0.472090145824128,-1.57,2.95
1981,10,22,1981-10-22,0.468475475033142,-1.58,2.91
1981,10,27,1981-10-27,0.435430844012373,-1.59,2.85
1981,11,1,1981-11-01,0.312015024304022,-1.62,2.77
1981,11,6,1981-11-06,0.185258506407424,-1.65,2.64
1981,11,11,1981-11-11,0.0674591250552367,-1.69,2.51
1981,11,16,1981-11-16,-0.066765355722492,-1.72,2.38
1981,11,21,1981-11-21,-0.280941228457799,-1.78,2.25
1981,11,26,1981-11-26,-0.469646486964207,-1.84,2.13
1981,12,1,1981-12-01,-0.476968625718073,-1.77,2.02
1981,12,6,1981-12-06,-0.489266460450729,-1.7,1.91
1981,12,11,1981-12-11,-0.508519664162616,-1.66,1.81
1981,12,16,1981-12-16,-0.528912947414936,-1.63,1.73
1981,12,21,1981-12-21,-0.571498011489173,-1.61,1.65
1981,12,26,1981-12-26,-0.605598762704374,-1.6,1.55
1981,12,31,1981-12-31,-0.732982766239505,-1.7,1.43
1982,1,5,1982-01-05,-0.859783473265576,-1.81,1.3
1982,1,10,1982-01-10,-0.980941228457799,-1.91,1.17
1982,1,15,1982-01-15,-1.0293946089262,-1.91,1.13
1982,1,20,1982-01-20,-1.0379407865665,-1.91,1.11
1982,1,25,1982-01-25,-1.03097657976138,-1.96,1.11
1982,1,30,1982-01-30,-1.02560760053027,-2,1.1
1982,2,4,1982-02-04,-1.02214759169244,-2.03,1.09
1982,2,9,1982-02-09,-1.00727353071144,-2.07,1.1
1982,2,14,1982-02-14,-1.05723817940787,-2.11,1.03
1982,2,19,1982-02-19,-1.10442333186036,-2.05,0.950000000000001
1982,2,24,1982-02-24,-1.14630136986301,-2,0.890000000000001
1982,3,1,1982-03-01,-1.12916924436589,-1.91,0.860000000000001
1982,3,6,1982-03-06,-1.1076137870084,-1.81,0.84
1982,3,11,1982-03-11,-1.08851524524967,-1.71,0.83
1982,3,16,1982-03-16,-1.04698630136986,-1.65,0.790000000000001
1982,3,21,1982-03-21,-1.01276623950508,-1.66,0.76
1982,3,26,1982-03-26,-0.977680070702607,-1.66,0.73
1982,3,31,1982-03-31,-0.999173663278833,-1.68,0.66
1982,4,5,1982-04-05,-1.01759611135661,-1.71,0.57
1982,4,10,1982-04-10,-1.02587273530711,-1.74,0.0899999999999999
1982,4,15,1982-04-15,-1.06599646486964,-1.77,-0.0299999999999994
1982,4,20,1982-04-20,-1.10158197083517,-1.81,-0.0299999999999994
1982,4,25,1982-04-25,-1.12988952717631,-1.84,-0.0199999999999996
1982,4,30,1982-04-30,-1.15623066725585,-1.86,-0.0299999999999994
