"y","ppt_total"
1986,423.739416441873
1987,286.466549100046
1988,314.944763534215
1989,218.025541351898
1990,328.553645566771
1991,401.601855768127
1992,342.063278575835
1993,277.374679680056
1994,255.846973387162
1995,197.898409160322
1996,267.253115281035
1997,329.846133216524
1998,260.260583365959
1999,268.13747228335
2000,270.2042859828
2001,204.994476240818
2002,228.945072951171
2003,150.506275053947
2004,345.157799377307
2005,270.463322840483
2006,391.777330682597
2007,286.504065499704
2008,292.057666874648
2009,247.025673947606
2010,276.580689413801
2011,191.607026102266
2012,145.618868785256
2013,261.482280149641
2014,287.475298306292
2015,343.10269535889
2016,279.857534424583
2017,307.729430012823
2018,301.999027658446
2019,289.315598626501
2020,205.0190455647
2021,287.511489146692
