"timestep","prob_1_2","prob_1_3","prob_2_1","prob_2_3","prob_3_1","prob_3_2"
"1985-1986",0.267216803785888,0,0.00698389402878942,0.0255564402279744,0.000946750345697605,0.20727975135429
"1986-1987",0.280477075503721,0,0.00333581551443842,0.0385234470766048,0.000107177940362326,0.109958254326537
"1987-1988",0.226690216398297,0,0.00544706929116234,0.0172438612561455,0.000191550325080966,0.189015305456717
"1988-1989",0.154579428651888,0,0.00941929777961848,0.0137979072509123,0.000998760986265598,0.164034107470162
"1989-1990",0.138325949278845,0,0.00383484187930453,0.0168604327086737,3.43708531449563e-05,0.0958643348365163
"1990-1991",0.352448287961171,0,0.00342521075704549,0.0338587809093726,5.47173124339992e-05,0.0863677225974463
"1991-1992",0.251892574100403,0,0.00764045665945658,0.0632928727932022,0.000132102200281985,0.0955996311171471
"1992-1993",0.116896511048919,0,0.0107328288153466,0.0314761164120963,0.000570948151089575,0.186785444118039
"1993-1994",0.122129246145487,0.00132089651784349,0.0123974320891483,0.0196796992330967,0.00120726692126054,0.203646931035028
"1994-1995",0.215847670349402,0,0.00431054362547869,0.0387740263456704,5.44689734711403e-05,0.0812978927367339
"1995-1996",0.13667797851094,0,0.0141361354218931,0.0199695337040634,0.00152251327153079,0.159389844134046
"1996-1997",0.121397316167439,0,0.0109351569388511,0.0171544812542278,0.000138124453729107,0.0948223708869348
"1997-1998",0.0757887321312779,5.33693398479508e-07,0.00840373118394662,0.0147801653265994,0.000155873579644179,0.0964004539362532
"1998-1999",0.0805962926698767,0.00232169176136294,0.00709898125092778,0.0179797458308782,0.000138031671138505,0.0581201941580899
"1999-2000",0.122155290343884,9.43440728336242e-07,0.0055294471976254,0.00993467766360568,0.000116637766718292,0.0544087666502425
"2000-2001",0.182343940341471,0.00664729815027267,0.00662043134678156,0.0110582612287239,6.85446735515983e-05,0.0677025339627366
"2001-2002",0.0830107926470171,0,0.0107904255631118,0.00867316116960205,1.4515312490714e-05,0.0679463147059424
"2002-2003",0.0803058861240584,9.84129275221593e-06,0.0144847473963383,0.0119115286774683,0.000539679814331035,0.0550160084404181
"2003-2004",0.142074334379953,0,0.00850853445608433,0.0108363983258581,0.00036778520560578,0.105880870049134
"2004-2005",0.209134763419891,0.000348557939033152,0.0069202362248819,0.0224266201634471,0.000298561544652891,0.197329838007475
"2005-2006",0.172671691934734,1.37896861421468e-06,0.00634242944277909,0.0281298036067258,7.11693346083972e-05,0.133359792082957
"2006-2007",0.392114312702013,3.73892466558763e-05,0.00611584727993437,0.0353154872392455,3.15378802567277e-05,0.1149819845685
"2007-2008",0.0912382902216156,0.000456331913634046,0.0108370130257436,0.0282046438947279,9.24409490508704e-05,0.114940589518541
"2008-2009",0.0869316397713877,0,0.0094834192487211,0.0179489814089865,2.05062408942938e-05,0.0625821375400686
"2009-2010",0.081253990037109,0,0.00557262545315518,0.0162237021473635,1.03863450586626e-05,0.0361610719787201
"2010-2011",0.0515866149509155,0,0.00894181807796142,0.00826196244194915,1.07444742657543e-05,0.0646010867970994
"2011-2013",0.0869412251655629,2.71339220014717e-05,0.00404456385512589,0.00944095492843892,1.33014948752001e-07,0.0436471262386352
"2013-2014",0.0611757873563461,1.87944047177715e-06,0.00391134355741731,0.0147554873485366,0,0.0314692624958149
"2014-2015",0.0118692292606761,5.14852801243884e-06,0.00740658187089921,0.0119528791611313,3.84163401597889e-07,0.0144304579086887
"2015-2016",8.30820487948886e-05,0,0.000627946846449317,0.000864750689014113,0,0.00309275606815226
"2016-2017",0.00864228231817792,0,7.2392508707371e-05,0.000722622021916977,0,0.00208057115224557
"2017-2018",0.0435228473470158,0,0.000317767916174578,0.000955503836127749,0,0.0123928115296203
"2018-2019",0.0435149927041203,0,0.00143533146253078,0.00357190412140279,0,0.0247492517528156
"2019-2020",0.178212912565349,0,0.0027400555412939,0.0145965653380534,0,0.0351118415903577
NA,0.137345529068931,0.000328794847493562,0.00672953980903305,0.0186686295806424,0.000232225991322548,0.0903078620941796
