"timestep","prob_1_2","prob_1_3","prob_2_1","prob_2_3","prob_3_1","prob_3_2"
"1985-1986",0.319811779977284,0,0.00561941291390006,0.0351217201915617,0.00209123125103016,0.197276248557772
"1986-1987",0.337304699282138,0,0.00400969356136635,0.0549594714172517,0.000728085136092078,0.197749917716406
"1987-1988",0.211077297626293,0,0.010315916163109,0.0175995734570557,0.0011119347664937,0.358180909200614
"1988-1989",0.174844400320745,0,0.0125066016595901,0.0131928758768645,0.000619014249007241,0.316339640270965
"1989-1990",0.129667842641283,0,0.00591771283027906,0.0232181141598659,0.000118826587448942,0.161826958782027
"1990-1991",0.351539225422046,0,0.00510032152921354,0.0324472272703862,0.000248893805309735,0.18125
"1991-1992",0.273424633786946,0,0.00727082801570428,0.0804453382159619,0.000258480626261632,0.109078824282409
"1992-1993",0.123606889564336,0,0.0221643072726584,0.0253671688534734,0.00100090633250581,0.393513811719273
"1993-1994",0.0640098801132598,0,0.0126615853658537,0.0180228658536585,0.00172233764276564,0.406590094405632
"1994-1995",0.192392321505349,0,0.00470724376893219,0.0352103609676116,0,0.183173875937654
"1995-1996",0.172756528920912,0,0.015395590705215,0.0134154311857177,0.000497772785868358,0.313711725739958
"1996-1997",0.0685373285931945,0,0.017236409838621,0.015851144241148,0.000526307395416341,0.16667995725746
"1997-1998",0.0767626716217611,0,0.00942498777331123,0.0098454665823721,0.000190488284970474,0.180805130484475
"1998-1999",0.0744172380019589,0,0.0112298765843103,0.00957125532066678,0.000738869701187346,0.125143907761568
"1999-2000",0.123883318140383,0,0.0102159317186469,0.00984574599885959,1.74486573258188e-05,0.106035490569001
"2000-2001",0.198451730418944,0,0.0117305031925733,0.0140162482109937,5.18770858911619e-05,0.08096283871414
"2001-2002",0.0702468183571153,0,0.0252789763205229,0.00563119562563931,0.000239900201516169,0.171944471100022
"2002-2003",0.0866673833914392,0,0.0203503138492798,0.00918568508641438,0.000126080691642651,0.133735590778098
"2003-2004",0.155561039815729,0,0.0143665218818464,0.00834968205864167,0.0011077468429215,0.185584521084115
"2004-2005",0.195088657472558,2.81452293836195e-05,0.0208869351215545,0.0226722336942226,0.00308959835221421,0.247793865228893
"2005-2006",0.184304082062812,0,0.0143405081409098,0.0143344367996139,0.000268729485383036,0.236309192467896
"2006-2007",0.51403474989261,1.48124009420687e-05,0.00610338940255618,0.0363678445612052,0.000121911573472042,0.179494473342003
"2007-2008",0.0697510440961111,0,0.0125997949007267,0.0346082985869307,0.000294231513743709,0.260054200542005
"2008-2009",0.051192391076299,0,0.0174896949896613,0.0167710019329849,0.000168258107937576,0.127203129600808
"2009-2010",0.0749131579951903,0,0.00845390200604939,0.0101955764820614,0,0.130181382428237
"2010-2011",0.0496880611659292,0,0.0136514826367924,0.00808503583970458,1.41709297547012e-05,0.149730043788173
"2011-2013",0.0379704858232466,0,0.00787242047987034,0.00818469722104166,0,0.060781431808439
"2013-2014",0.0373805152877129,0,0.0055244806712175,0.0143946224094893,0,0.0410377853385093
"2014-2015",0.00397336603082463,0,0.00844331108169059,0.0083470821686272,1.36297346290668e-05,0.0300944540609794
"2015-2016",0.000114919412761801,0,0.000842842833398591,0.000476457795745845,0,0.00525229297865113
"2016-2017",0.0121895583245416,0,7.86764729022492e-05,0.001364250040125,0,0.00813720744646058
"2017-2018",0.0660253544283716,0,0.000309712391954395,0.00213811600537044,0,0.0303322727035627
"2018-2019",0.0612414557546647,0,0.00267998709116166,0.00420940380810731,0,0.0417998362344489
"2019-2020",0.187808029092301,0,0.00290307306584698,0.0164993906651453,0,0.0474133921571233
NA,0.139724672218149,1.26345971546142e-06,0.0102259690068008,0.0185277946642506,0.000451962698258503,0.163682319837876
