"timestep","prob_1_2","prob_1_3","prob_2_1","prob_2_3","prob_3_1","prob_3_2"
"1985-1986",0.296477871342331,0,0.00446034754492875,0.0383827497240975,0.000644748076908902,0.134340748970711
"1986-1987",0.248951509295733,0,0.00303825389657388,0.0448814082368671,0.00011601818898111,0.0708053164709103
"1987-1988",0.185439916947833,0,0.00345386280273493,0.023793030308751,0.000127192841636268,0.089020170561896
"1988-1989",0.158231947895933,0,0.00632096064897885,0.0230278899839303,0.000935801273913904,0.0688553180538954
"1989-1990",0.144201023406035,0,0.00292066690138104,0.0293511968604766,3.09156418131406e-05,0.0532150942529588
"1990-1991",0.271991025477018,0,0.00245140925826639,0.0392799389844624,7.01712221677908e-05,0.0610309819102975
"1991-1992",0.219863630515888,0,0.00407962738245899,0.0591261698548521,0.000123984233338327,0.0618354143742499
"1992-1993",0.150818258112645,0,0.00575318734749734,0.0346724918125744,0.000315735240907213,0.0959443522756801
"1993-1994",0.18023501478903,0.0140847904384394,0.00679272009035552,0.0243031704712542,0.00171759267070475,0.133480402908772
"1994-1995",0.23344460091448,0,0.00230510860595682,0.0556715904911791,3.23754516375503e-05,0.0468403409227559
"1995-1996",0.187360100022182,0,0.0117938331623419,0.0237476985837036,0.00412407765328066,0.109419045779542
"1996-1997",0.122868029095947,0,0.00670426344967496,0.0288368176279577,0.000229057274918966,0.0567532029995903
"1997-1998",0.0836999962178041,6.30365990494081e-06,0.00494261029186913,0.0257585419502792,0.000310304065899967,0.0749991635082418
"1998-1999",0.120154420067514,0.0246173492010003,0.00495900618585858,0.0301445150588806,0.000150148675253674,0.0616867823793747
"1999-2000",0.101902730831606,5.94046466314595e-06,0.00361972297621288,0.0117298187668583,0.000307647408186767,0.0416834354642176
"2000-2001",0.255466584539575,0.0699343772950179,0.00418853191501953,0.0161373775905405,3.59075418594532e-05,0.0508053919898779
"2001-2002",0.134377218879629,0,0.00521360179415937,0.0121870109832292,8.58329395349857e-06,0.047962969762486
"2002-2003",0.108022871754803,0,0.00689000999369845,0.0128810434599354,5.15860269999319e-05,0.0398390126629096
"2003-2004",0.167394587791064,0,0.00320706412531665,0.0274845001576888,2.16221316276748e-05,0.0444266007257174
"2004-2005",0.259153519335372,0.00462749979703948,0.00220982737719222,0.0685036052387246,2.455400774366e-05,0.0404433394606014
"2005-2006",0.162788166948486,2.51125881033299e-05,0.00384154459118346,0.033690888112391,5.25423159446979e-05,0.120530780752974
"2006-2007",0.33052416956928,9.34500042477275e-05,0.00402310521206889,0.0509073782091015,5.09995455576208e-05,0.0648349937024668
"2007-2008",0.0943317147968311,0.00129823664707386,0.00498595268792658,0.0232176256799911,5.84381658789144e-05,0.0841553199227918
"2008-2009",0.0804975462979547,0,0.0051216277490511,0.0165599793934259,1.08722980640514e-05,0.0636695365003432
"2009-2010",0.0938846026411701,0,0.00316592542889512,0.0237201004127104,1.7718384922587e-05,0.0404813805419494
"2010-2011",0.0724896476347347,0,0.00411482933010146,0.0120875099335165,5.98977591326804e-06,0.0622125771471619
"2011-2013",0.0822660873045367,0,0.00245235434795967,0.0169355206168738,0,0.0296003942003607
"2013-2014",0.055556348379547,2.85416636935767e-05,0.00211119757367576,0.016337227506512,0,0.0218960713336797
"2014-2015",0.0131516121784069,4.91517806987979e-05,0.00302186897216719,0.0131738860808027,4.66624888185011e-07,0.0144219754191341
"2015-2016",0.000206672952968986,0,0.000492177534644968,0.00131439349412555,0,0.00199174421791733
"2016-2017",0.0113615388042696,0,8.75464530020746e-05,0.00069930398434584,0,0.000869822534147312
"2017-2018",0.0602116429296107,0,0.000278867898824335,0.00214681305879009,0,0.00422053113209973
"2018-2019",0.0580307863174932,0,0.00086900366682877,0.00925949417420027,0,0.0104133435480739
"2019-2020",0.212893762659775,0,0.00314130166658216,0.0175472601914733,0,0.0313222958619486
NA,0.145830857548456,0.00337561039823184,0.00391211526068787,0.0255146454998383,0.00028161911861478,0.0568825838896981
