"timestep","prob_1_2","prob_1_3","prob_2_1","prob_2_3","prob_3_1","prob_3_2"
"1985-1986",0.392059943087328,0,0.00657542768273717,0.0111636858475894,0.00117918328413811,0.26367890163208
"1986-1987",0.312260166525884,0,0.00917924803286741,0.0199000198547035,0.000315975733063701,0.206261059150657
"1987-1988",0.269450793846914,0,0.0138621843007381,0.00785912638047272,0.000748724213346994,0.388390834039367
"1988-1989",0.264977686089592,0,0.017038989913569,0.00454188809266803,0.000688516775976061,0.309806067774767
"1989-1990",0.37126309066571,0,0.00956446885099129,0.00697702227863937,0.000177888463933114,0.227908476385306
"1990-1991",0.416140858160789,0,0.0124222539294788,0.0122659154303816,0.000148345942738466,0.208220647472984
"1991-1992",0.381030849251188,0,0.0102541341410962,0.033277509845372,0.000147610191007587,0.132819649868627
"1992-1993",0.173883395840436,0,0.0254057708589932,0.010588933109431,0.000935117659468922,0.438376316434693
"1993-1994",0.315092295888433,0,0.0244966810695723,0.00752630095810633,0.00151518776366261,0.327743087952662
"1994-1995",0.336533773637646,0,0.0159677991649346,0.0111156882052197,0.000638674653325463,0.142163171697036
"1995-1996",0.252829739901781,0,0.0258044353551703,0.00608199849849438,0.000316250128209511,0.258359260145646
"1996-1997",0.356424982053123,0,0.0141751546751182,0.00665029142545359,0.000537834190608437,0.146418024290548
"1997-1998",0.155981875369388,0,0.0154762123150073,0.00444602997352522,0.000288142918887768,0.119877059021275
"1998-1999",0.200588080989245,0,0.017705749273207,0.00376090582184451,0.000388368367396476,0.0935482304966261
"1999-2000",0.224097315645772,0,0.0228156506319464,0.00374815581185118,0.000145776844805971,0.0999737601679349
"2000-2001",0.273972250638729,1.5422023677947e-05,0.0203686647663383,0.00421415169833572,0.000117538738809333,0.105873018982506
"2001-2002",0.162568050534015,0,0.0312327187888176,0.00253752193833012,0.000107968041459728,0.1571033156004
"2002-2003",0.257587694616395,2.08424519060422e-05,0.0221172831022716,0.00495561268678763,0.00115980359213935,0.109758609102832
"2003-2004",0.334935065492254,0,0.0404533758009439,0.00426110822603464,0.00501457725947522,0.152843890803074
"2004-2005",0.275735882805513,0,0.0498269767170403,0.00703482108768377,0.0118740836184298,0.291909183809481
"2005-2006",0.352197558950032,0,0.0243216883962365,0.00624163017567658,0.00107451646758958,0.148608126343146
"2006-2007",0.729593920757131,3.85347544950791e-06,0.00749548303954202,0.010265156911759,4.80855923543908e-05,0.206419426579311
"2007-2008",0.192008478589307,0.000699032629039168,0.0147035368387795,0.0113541426158389,0.00022982719184004,0.229214319328467
"2008-2009",0.19056207065306,0,0.0143798594365474,0.00524769198376435,7.97058852833046e-05,0.0926780181131624
"2009-2010",0.225548130557243,0,0.00713192117627511,0.00425111148206775,0,0.0879704345999217
"2010-2011",0.0984259060690543,0,0.0165203335645786,0.00442377263376035,0.000140870202195697,0.125186653017909
"2011-2013",0.125746235861239,0,0.00671567335383414,0.00445667984575585,0,0.0984941918829772
"2013-2014",0.121815873535916,0,0.00524448834807597,0.00660675903348671,0,0.0508769606266437
"2014-2015",0.0923198187102813,0,0.00554494707790059,0.00529867030117418,8.5288573889756e-06,0.0271729396412763
"2015-2016",0.000132739035057078,0,0.000672921043668682,0.000584037258824075,0,0.00410674399467064
"2016-2017",0.0112683836221777,0,3.858278349586e-05,0.000285040155622476,0,0.0122748063100905
"2017-2018",0.049401239392586,0,0.00131726912685392,0.000750477603474853,0,0.0332101298335187
"2018-2019",0.0422452459768138,0,0.00230258149678784,0.001384374151443,0,0.039331892254066
"2019-2020",0.128158637790423,0,0.00393666356193931,0.00438962694249718,0,0.0575238371811626
NA,0.237848177368837,2.17397229433137e-05,0.0151490920180987,0.00701311347841381,0.000824326546398077,0.158650030721613
