"timestep","prob_1_2","prob_1_3","prob_2_1","prob_2_3","prob_3_1","prob_3_2"
"1985-1986",0.3081628113879,0,0.0134645125776547,0.0184251224746853,0.00296862442800676,0.370723190309551
"1986-1987",0.329466968946064,0,0.00369266676391523,0.0416489992355386,0.00021991863010686,0.199478193068565
"1987-1988",0.258071194045659,0,0.00901844299531808,0.016434888091141,0.000965828316391801,0.360975791597971
"1988-1989",0.119183535796967,0,0.0181317423664142,0.00976319675333731,0.00160880365725834,0.314405883878059
"1989-1990",0.0900307473067063,0,0.00532182497841761,0.011063883038226,9.0264672945703e-05,0.153382245502986
"1990-1991",0.40763587029628,0,0.00408512948186328,0.0400372705179676,3.97225098951609e-05,0.126513356693952
"1991-1992",0.249393263349647,0,0.0122626256357358,0.0890159617440321,0.00040221135804654,0.158726679282696
"1992-1993",0.102798510444469,0,0.0177722716834858,0.0456029096119191,0.00125169050153944,0.305526381415513
"1993-1994",0.0768128124225923,0,0.0205790672470266,0.0298758698688267,0.00283253233033828,0.290257172265948
"1994-1995",0.22734094862504,0,0.00597106582639496,0.0499236395418373,0.00019197457665914,0.159843939436451
"1995-1996",0.0991846977429465,0,0.0260426790609197,0.0187390894769646,0.000464459909474855,0.335345144612456
"1996-1997",0.0849995660001736,0,0.0230248443960569,0.0152872448675847,0.000152756676878118,0.11380538467286
"1997-1998",0.0718783600579683,0,0.0165887096194817,0.0113840541202596,0.000141512889326931,0.0944756697721809
"1998-1999",0.0559635102211489,0,0.0156399944976142,0.0111145390735953,0.000581844429977974,0.0568150004553565
"1999-2000",0.105891560451459,0,0.00767137702021839,0.00918327323756808,1.81368806873548e-05,0.0625491550686811
"2000-2001",0.146196351184186,3.27688892165778e-05,0.0094151912418052,0.00929065665744467,0.000182754856586831,0.0840343052269535
"2001-2002",0.047477537015235,0,0.0203410568707787,0.00866462507982232,4.19673628212811e-05,0.0755546826344089
"2002-2003",0.0415705095085556,1.72221775721322e-05,0.0231009629751948,0.0101440411317953,0.00145446256332441,0.0590715935806317
"2003-2004",0.0880330146741152,0,0.0105537838032621,0.0065646294822849,0.000414976101072722,0.117085422914409
"2004-2005",0.161578202549987,8.12529200268135e-05,0.00795986852991349,0.00996429927658121,0.000872379242441793,0.38609116182092
"2005-2006",0.149001347410911,0,0.00828656633470781,0.0223721502805118,7.35661175481464e-05,0.152978114080029
"2006-2007",0.327842163072154,3.4901505897328e-05,0.0112507334003484,0.0291962112571824,2.37220909599856e-05,0.20739275242677
"2007-2008",0.0812593099134344,0.000893221587867029,0.0191171244802957,0.0364577040616893,0.000308449577122101,0.170749489332606
"2008-2009",0.101671637649997,0,0.0167431197918458,0.0210258702703942,2.73326105376324e-05,0.0645268269572427
"2009-2010",0.0775455114637111,0,0.0102951237636148,0.0141968891563797,2.14845493037353e-05,0.0379334507822029
"2010-2011",0.0362488187367507,0,0.0207850463578601,0.00933728090929762,3.57788988499417e-05,0.0664507487901288
"2011-2013",0.0740561981637125,0,0.00783552789767406,0.00634504811211098,0,0.0456347003835203
"2013-2014",0.0550532682839025,0,0.00708146500278318,0.01046512714552,0,0.0353768992569422
"2014-2015",0.00608401792592343,1.87431236165232e-06,0.0151574451830259,0.0109704999069113,0,0.00883774866141924
"2015-2016",0.000119686791466837,0,0.000943607601371192,0.000662795506611669,0,0.00241791695093076
"2016-2017",0.0081947441068868,0,9.61020608827555e-05,0.000584764982286587,0,0.00261912360975344
"2017-2018",0.0335513490248369,0,0.000324798247471584,0.00058123090637962,0,0.0202790442249058
"2018-2019",0.0374592919012446,0,0.00244871982368041,0.00305526547028233,0,0.0278170955414383
"2019-2020",0.259887517980942,0,0.00322538555246769,0.018141909647744,0,0.0396654371747245
NA,0.127048377483911,3.12129821453392e-05,0.0115949583255736,0.0189859100263151,0.000452563404061819,0.138451167717152
