"TARGET_FID","soil_mu","SSURGO_dat","MLRA","LRU","esite","esite_alt","esite_alt2","state_code","dom1","dom2","dom3","dom4","grass_dur","ration","ration_dat","remarks"
"1","WP","NM690","42X","42.2","Playette","Bottomland","Sandy","462","","<Null>","","<Null>","<Null>","photo interpretation","",""
"2","OP","NM690","42X","42.2","Playette","Bottomland","Sandy","462","<Null>","<Null>","<Null>","<Null>","perennial","site visit","","seed bank study"
"3","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","","<Null>","","<Null>","perennial","existing point inventory data","","SPFL2 D24"
"4","OP","NM690","42X","42.2","Sandy","Deep sand","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"6","WP","NM690","42X","42.2","Playette","Bottomland","Sandy","462","","<Null>","","<Null>","perennial","photo interpretation","",""
"7","WP","NM690","42X","42.2","Playette","Bottomland","Sandy","426","PRGL2 - honey mesquite","ATCA2 - fourwing saltbush","SPFL2 - mesa dropseed","MUPO2 - bush muhly","perennial","existing point inventory data","","seed bank 53"
"8","WP","NM690","42X","42.2","Sandy","Deep sand","","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"9","WP","NM690","42X","42.2","Sandy","Deep sand","","624","","<Null>","","<Null>","perennial","photo interpretation","",""
"11","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","MUPO2 - bush muhly","<Null>","perennial","existing point inventory data","","seed bank 70"
"12","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","426","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","YUEL - soaptree yucca","MUPO2 - bush muhly","perennial","existing point inventory data","","seed bank 212, 229"
"13","OP","NM690","42X","42.2","Draw","Shallow sandy","Sandy","247","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","<Null>"
"14","OP","NM690","42X","42.2","Shallow sandy","Sandy","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"15","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","426","SPFL2 - mesa dropseed","ATCA2 - fourwing saltbush","PRGL2 - honey mesquite","VACO","perennial","existing point inventory data","","seed bank 235"
"16","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","420","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","YUEL - soaptree yucca","<Null>","perennial","existing point inventory data","","seed bank 212"
"17","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"20","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","240","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","","<Null>","perennial","site visit","","seed bank 71"
"21","47","NM690","42X","42.2","Sandy","Deep sand","<Null>","642","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"22","818","NM690","42X","42.2","Deep sand","Sandhills","","652","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>","<Null>"
"25","915","NM690","42X","42.2","Limestone hills","Hills","","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","Seed bank study 288"
"26","915","NM690","42X","42.2","Limestone hills","Gravelly","","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"27","916","NM690","42X","42.2","Limestone hills","Gravelly","","536","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"28","930","NM690","42X","42.2","Drainage","Draw","","567","<Null>","","<Null>","","<Null>","<Null>","<Null>","<Null>"
"30","926","NM690","42X","42.2","Gravelly","Loamy","Limestone hills","563","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","<Null>","<Null>"
"31","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","420","PRGL2 - honey mesquite","SPFL2 - mesa dropseed","","<Null>","perennial","existing point inventory data","","seed bank 219"
"32","OP","NM690","42X","42.2","Shallow sandy","Sandy","<Null>","246","","<Null>","","<Null>","<Null>","photo interpretation","",""
"34","OP","NM690","42X","42.2","Sandy","<Null>","<Null>","246","","<Null>","","<Null>","<Null>","photo interpretation","",""
"36","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","240","","<Null>","","<Null>","<Null>","photo interpretation","",""
"38","OP","NM690","42X","42.2","Sandy","Deep sand","<Null>","642","","<Null>","","<Null>","perennial","photo interpretation","",""
"39","WP","NM690","42X","42.2","Sandy","Deep sand","<Null>","624","","<Null>","","<Null>","<Null>","photo interpretation","",""
"40","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","PRGL2 - honey mesquite","<Null>","<Null>","<Null>","perennial","existing point inventory data","","Quadrat AR1, AR2"
"41","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","426","","<Null>","","<Null>","<Null>","photo interpretation","",""
"42","BJ","NM690","42X","42.2","Sandy","Loamy","Deep sand","640","","<Null>","","<Null>","<Null>","photo interpretation","","<Null>"
"43","WH","NM690","42X","42.2","Sandy","Shallow sandy","","241","","<Null>","","<Null>","<Null>","photo interpretation","",""
"45","ST","NM690","42X","42.2","Loamy","Clayey","Bottomland","421","<Null>","<Null>","<Null>","<Null>","<Null>","photo interpretation","","or Gyp upland"
"55","OR","NM690","42X","42.2","Sandy","Deep sand","Drainage","624","","<Null>","","<Null>","perennial","existing point inventory data","","Traverse points"
"56","OP","NM690","42X","42.2","Sandy","Drainage","<Null>","642","","<Null>","","<Null>","perennial","existing point inventory data","","Traverse, Seedbank"
"57","WP","NM690","42X","42.2","Shallow sandy","Sandy","","426","SPFL2 - mesa dropseed","PRGL2 - honey mesquite","<Null>","<Null>","perennial","existing point inventory data","","seed bank 68"
"58","OP","NM690","42X","42.2","Sandy","Drainage","<Null>","642","","<Null>","","<Null>","","<Null>","","also old state 500"
"60","BJ","NM690","42X","42.2","Sandy","<Null>","","241","","<Null>","","<Null>","perennial","existing point inventory data","","Traverse point"
"61","SH","NM690","42X","42.2","Sandy","Shallow sandy","","642","","","","","perennial","photo interpretation","","state was 240 and 600"
"62","OP","NM690","42X","42.2","Sandy","Shallow sandy","<Null>","124","<Null>","<Null>","<Null>","<Null>","perennial","existing point inventory data","",""
